Password;Length;Has_Uppercase;Has_Special;Security_Score
"Co`'{<KqAT""wH)J";15;1;1;5
"""*e)qQn!&CY39";13;1;1;5
vnpx;4;0;0;1
?}ywtHAyXk3N;12;1;1;5
"a=[tbWf""0Q~Iyu7";15;1;1;5
Tht88vBXCNj;11;1;0;3
9X/xj<f<46`E\t;14;1;1;5
cdd2gm;6;0;0;1
qMgLqvMsi;9;1;0;3
"n@8A;z_3h8c%!-0q0";17;1;1;5
urdqfp;6;0;0;1
8riBXhFioC3;11;1;0;3
Zg5DPvB8Zt;10;1;0;3
69ml;4;0;0;1
`z_sy)24BeaXSd;14;1;1;5
pbymf;5;0;0;1
keXHZAzvjv8E=5_8';17;1;1;5
3xi5oe;6;0;0;1
zgtvLdLPcp;10;1;0;3
8O1ugmyW;8;1;0;3
)Gr>*GbzXO[.;12;1;1;5
wvhlpb3;7;0;0;1
hZLvYVe4;8;1;0;3
Ss13OIPwVp6;11;1;0;3
ItdBYdRvQ;9;1;0;3
ax9hMW0ktq;10;1;0;3
6AQj6Z6fh;9;1;0;3
vwf1jnv;7;0;0;1
"Sx6e5Z#x#C/""";12;1;1;5
e9wp4o;6;0;0;1
"%L<I7~""8DcMRz";13;1;1;5
cpnMgAyp8C;10;1;0;3
"5x;0tU(8f9!t";12;1;1;5
ckuz04k;7;0;0;1
a0vviKWjPx;10;1;0;3
hylkt;5;0;0;1
fidre;5;0;0;1
olai;4;0;0;1
wl6c74p;7;0;0;1
pcw5p9x;7;0;0;1
xuh84gh;7;0;0;1
XK.IPu(Z>1ET9@-@9;17;1;1;5
m3bSxw5XV8;10;1;0;3
2pi4ow;6;0;0;1
q5ssp;5;0;0;1
"b;@]DtVp\dh\yAXL";16;1;1;5
q3yn;4;0;0;1
h%Y>>[Fhi1:@=Ci4e;17;1;1;5
4m8B6lCDc;9;1;0;3
hfju;4;0;0;1
rIP2L3NjSe3;11;1;0;3
"t1HT>(#a%K\%tg0Q;W";18;1;1;5
xk287x8;7;0;0;1
5rid40;6;0;0;1
"Y~mZ?}5X;:xrY9g*+";17;1;1;5
sVYAI0aE;8;1;0;3
]\m-RB(o+RGV^m;14;1;1;5
"8Dq;b2ee8x*bFN'";15;1;1;5
5fv9tj;6;0;0;1
`G?08P?sb_dSNwNq;16;1;1;5
"D;VzPlL=:""B(0}s";15;1;1;5
"y\;;87ei~`dK`j3";15;1;1;5
bNMrlLyPL;9;1;0;3
%R]6Ib9'9=6%,@X;15;1;1;5
bzghla;6;0;0;1
DzkhKt7vFC;10;1;0;3
"Z{wg""f~gCYJjsx";14;1;1;5
9zf6pBVd2;9;1;0;3
M2KAE1oiSCp;11;1;0;3
2lbkd;5;0;0;1
j3zt3;5;0;0;1
wxD84SMSxZ;10;1;0;3
a7iU3D6A;8;1;0;3
YOTyJUxIFI;10;1;0;3
CVoBpE6X;8;1;0;3
sHd3fVlzg;9;1;0;3
YlYf7vHPXA;10;1;0;3
KGzALsyehCw;11;1;0;3
zjgmi4f;7;0;0;1
f7v8;4;0;0;1
Srq0JjIV;8;1;0;3
.lufp<U62F2};12;1;1;5
voICyQ1LNU;10;1;0;3
1q0s)(8_>_tgc)n8;16;0;1;4
4Owx)/(Np\u-9-;14;1;1;5
Z28jnnJJ;8;1;0;3
8t7vc;5;0;0;1
U3memwPLQ5W;11;1;0;3
Gw3p0d0E3b;10;1;0;3
h>A4X>PdpMEVa_&qtW;18;1;1;5
yfoua;5;0;0;1
y92b4;5;0;0;1
8EJp4iVt;8;1;0;3
c+Ms,UtHVDexluYJ;16;1;1;5
kyzB3kxo;8;1;0;3
2m4sn;5;0;0;1
"4=Mbb;L;qYij""L|";15;1;1;5
GLqswgvUz;9;1;0;3
5fj8;4;0;0;1
BjTUyaEOMx;10;1;0;3
+yG?+WwjQivQ5[;14;1;1;5
(5@nO3%d3y2|;12;1;1;5
iqBNQ\fW)M8(f\;14;1;1;5
y1j57h9;7;0;0;1
UT368rQ0v;9;1;0;3
b5p9g;5;0;0;1
uoqw;4;0;0;1
eu6e;4;0;0;1
LDV2R5GNWN;10;1;0;3
GI5vAqY83k;10;1;0;3
77zn9m13T6C;11;1;0;3
omxz20mF;8;1;0;3
nePylZyqms;10;1;0;3
6qw0;4;0;0;1
xok50s;6;0;0;1
On}!Oou/37tTJ.9;15;1;1;5
">*c1'tx<RG'!{k"",";16;1;1;5
f7etx;5;0;0;1
de6hb;5;0;0;1
K1mOxSwY;8;1;0;3
ZT44JaF4S;9;1;0;3
sJ6fYU8qw9;10;1;0;3
z>alTDuU>+/8Nc(wR;17;1;1;5
QijCNOS3IW;10;1;0;3
GEEfm7KKBRe;11;1;0;3
aj3oPOtTa76;11;1;0;3
aYgZgwYZ;8;1;0;3
dbFU5yeUY44;11;1;0;3
65b7p6;6;0;0;1
h3jj1;5;0;0;1
ml4gn;5;0;0;1
7OMGgwxd;8;1;0;3
SHP^ioM(O/0Q+0n:n;17;1;1;5
~U4}TDb8W*H2f;13;1;1;5
j66si;5;0;0;1
36ee0u;6;0;0;1
Ax2IP10e6zx;11;1;0;3
26rBbQQ^m~xGK;13;1;1;5
JipE2Fbg;8;1;0;3
itiu4og;7;0;0;1
A99TVLwPVF;10;1;0;3
Q(,ffLHcs9Y^P-rK;16;1;1;5
ixdb;4;0;0;1
jpIWKK5YH;9;1;0;3
X|Df05oPwdZ2[-;14;1;1;5
NXa2DtBKzp;10;1;0;3
"XBH>l0p;[Sxd]";13;1;1;5
VjuwsqXn;8;1;0;3
TFO3bm60;8;1;0;3
4Sp#.h_-jG0ni;13;1;1;5
EprTCuafIB;10;1;0;3
7hew8;5;0;0;1
2p2prw4;7;0;0;1
zp9eb;5;0;0;1
sy4v;4;0;0;1
O3vCTDMa2;9;1;0;3
RpIOpPXHNa;10;1;0;3
lcsH4S3rFH;10;1;0;3
41kxet3;7;0;0;1
ldqXGRdjiXI;11;1;0;3
g$|e8[$7ADm=c^=,&,;18;1;1;5
C640NyPdk;9;1;0;3
[FhI)!r4`K=kfQ:;15;1;1;5
dm(VHNjbvP@M|D]>V;17;1;1;5
"c.%pyZ;s|g<m)";13;1;1;5
e88w;4;0;0;1
4xbxa0LStn;10;1;0;3
dowVtgV4;8;1;0;3
_p=vAHw=oS=n;12;1;1;5
GFE1VlLI;8;1;0;3
f2tBzESw;8;1;0;3
ysuh3x5;7;0;0;1
0;15;1;1;5
")vNJSN<.b;co>jF";15;1;1;5
Q>4xE\O}F:j)8mIY+;17;1;1;5
w3k9gz;6;0;0;1
"o6V1rc7D-]""l";12;1;1;5
wflq;4;0;0;1
pUQOHYYFTfZ;11;1;0;3
wc5UTlqg;8;1;0;3
kk6k06;6;0;0;1
0phd9o;6;0;0;1
dyg0vot;7;0;0;1
2MoXA1V6g;9;1;0;3
uxx7Vnfbqc;10;1;0;3
EHyykNpsWBe;11;1;0;3
bJc1GyBPC;9;1;0;3
"xOf,{{""7(RI_e#";14;1;1;5
cGkI@<9{44QK;12;1;1;5
UJKQxwDZMFY;11;1;0;3
XHqyjJTeA;9;1;0;3
_Eu$Fpq*oE6G^;13;1;1;5
9JWZZKUwT;9;1;0;3
rvkve7;6;0;0;1
Hl@ji\|H'^B^2;13;1;1;5
l9chc2iM;8;1;0;3
"Bml%X10]Oc""IK`{eel";18;1;1;5
rr8w7;5;0;0;1
",-GA$|mC>?"",PYQ&";16;1;1;5
wl9qYOSi7;9;1;0;3
f3zc3rl;7;0;0;1
w0v6;4;0;0;1
KoWv60Z2d;9;1;0;3
FGp&cw?{qZ%4Z3;14;1;1;5
$[6MDVin*T5{`[4/;16;1;1;5
ux2ewkk28X;10;1;0;3
hQlF30MSHH;10;1;0;3
fahr44;6;0;0;1
wII3WuLJWH;10;1;0;3
ft-.*K7cXP4q<{|&;16;1;1;5
oKQqfH0O;8;1;0;3
1zvqt;5;0;0;1
6qjm;4;0;0;1
6vpde;5;0;0;1
TJJ<^xP#0)Cz/;13;1;1;5
"G+""PeSOTI\l,";12;1;1;5
kzPyoSA3u;9;1;0;3
EJnqi4y65c1;11;1;0;3
"""zRt:S~z3J0~F|j9RW";18;1;1;5
w9gPmB1gkQ;10;1;0;3
reecp6wD;8;1;0;3
03OzQ3pef;9;1;0;3
R3201LfLcRS;11;1;0;3
lpfmhzw;7;0;0;1
#`$B29AkqL7bS^:*/+;18;1;1;5
5CZpHEu5q!:9$;13;1;1;5
PUsRMbrLGJS;11;1;0;3
?i:Ds*u2O(u@[O*Q^;17;1;1;5
wWxxZ=,*ahaSY?tN;16;1;1;5
SJnJFW49I;9;1;0;3
1$jg8{[rL?ZwA;13;1;1;5
"%qq`/i!']I?00>a:;0";18;1;1;5
7eun5H8z;8;1;0;3
5ztxl7p;7;0;0;1
ikmcnc0;7;0;0;1
Ua4X#QgE*n=9Wj;14;1;1;5
8x:d]=U(!vPTcq;14;1;1;5
GiPo6caBAzI;11;1;0;3
e?mEx5eMjO6|;12;1;1;5
cqtaDfTA;8;1;0;3
6wkkhwq;7;0;0;1
qHIwT5lgn;9;1;0;3
FLhiMEr9kTS;11;1;0;3
09yWwh6T;8;1;0;3
tX`/)=#=I!bu[k=8I+;18;1;1;5
jq65;4;0;0;1
dl0kgx;6;0;0;1
tdzh;4;0;0;1
w3zMequB;8;1;0;3
jcofil;6;0;0;1
I-h4DO6<EHVdW;13;1;1;5
NJWRnQq,@V>l#5BV;16;1;1;5
j*@gW5:]pK%Nd;13;1;1;5
1rsr;4;0;0;1
zhtnvhc;7;0;0;1
jv67g;5;0;0;1
eR14pmVPJ8;10;1;0;3
"735]:~;;upRS";12;1;1;5
jjnf5ps;7;0;0;1
byro;4;0;0;1
"LXC<m%E_+W-3CO2;7F";18;1;1;5
dvVqX2fbo;9;1;0;3
ubdIb7B7;8;1;0;3
j4sq0f;6;0;0;1
jm8r;4;0;0;1
CO28MljlDar;11;1;0;3
2u7cT7W5VE7;11;1;0;3
8c0bVGkw;8;1;0;3
"4k{?;^GIJTgbPW~V]";17;1;1;5
DhA7klnrp;9;1;0;3
o7d6XsenkC;10;1;0;3
X1Hz4mNE;8;1;0;3
O2YQK2rNNI;10;1;0;3
M4nUOI7KkCy;11;1;0;3
w:-\btTK#0ut;12;1;1;5
tg6hoky;7;0;0;1
1QrT0gJGW;9;1;0;3
k2olxz;6;0;0;1
u/|&==pKUgqQpI;14;1;1;5
BTg2TX9e7;9;1;0;3
Qb0ydtU0u;9;1;0;3
3EhhXfH2mW;10;1;0;3
gvjf5p;6;0;0;1
jHGqoK31u;9;1;0;3
f1v1;4;0;0;1
{Z$SOB]Bh-E#8gE;15;1;1;5
V9ny9XjP;8;1;0;3
lqrghvh;7;0;0;1
IQJKDyrOwS8;11;1;0;3
}#n}T[8):<Rwy;13;1;1;5
p1mmj1r;7;0;0;1
2uti;4;0;0;1
57G4qnniS;9;1;0;3
utgpwei;7;0;0;1
e0d07e;6;0;0;1
r.+?BkUr5nL-2;13;1;1;5
mg2n;4;0;0;1
9s9ave;6;0;0;1
laed26;6;0;0;1
x0Ng1lL4r;9;1;0;3
b9i9e;5;0;0;1
WsgZbuppNFk;11;1;0;3
b^-4cR%]@~^vX;13;1;1;5
ztIWNCMIR;9;1;0;3
nk4zyRms;8;1;0;3
9h4h1w;6;0;0;1
zBhv2EYpAV;10;1;0;3
ZokENXIz;8;1;0;3
"qrbQZ%|;aHI$c";13;1;1;5
jdWnP1vA;8;1;0;3
6b5ui;5;0;0;1
x8du;4;0;0;1
n4i4;4;0;0;1
"wg""4{!pK#(*/'";13;1;1;5
2Z6:~Dk_|L%8BF((ho;18;1;1;5
50`fJ-EGb[SQ;12;1;1;5
ovbsOuFGA;9;1;0;3
ge144;5;0;0;1
ebv4NBBRv;9;1;0;3
rSp62Nld;8;1;0;3
7LorlGTy4V1;11;1;0;3
lc30sb;6;0;0;1
mf(C~}=:,R1z6o;14;1;1;5
YVrNjx8S3;9;1;0;3
3qz6z9d;7;0;0;1
D1JZcYpyg;9;1;0;3
6dsl;4;0;0;1
n0GMI_<9)8NPr=@R;16;1;1;5
hd8qmpn;7;0;0;1
n`XDGNI9X-B}/_w$26;18;1;1;5
ou1il;5;0;0;1
p1w7jxg;7;0;0;1
w\<`'-tsKLFB;12;1;1;5
cm85pww;7;0;0;1
PxiB=dJ7d:RIi}aG;16;1;1;5
b5?Wta[Ay:xmffytA;17;1;1;5
35ayksd;7;0;0;1
trcO88sw;8;1;0;3
1OCwg3Up;8;1;0;3
uGSxF9'DJ`H=p1;14;1;1;5
i])jf_7n/pkJdbDJ;16;1;1;5
5X>85MV/DZ!rC7<R~;17;1;1;5
f622ul;6;0;0;1
OF6DXrijsIx;11;1;0;3
wpagv;5;0;0;1
YaB6sOJgk58;11;1;0;3
kiXuGEWC;8;1;0;3
ObqF3g2O;8;1;0;3
ef2i;4;0;0;1
4k67f;5;0;0;1
fvo0;4;0;0;1
g5pyyx;6;0;0;1
8kUJBWUI;8;1;0;3
eH1pwjOze;9;1;0;3
"J""HK~8[Av`""7}'k";15;1;1;5
kxoaoea;7;0;0;1
2noam;5;0;0;1
"{;VAs\IX0qbl";12;1;1;5
mtt6y38;7;0;0;1
zcQhxX1rpUl;11;1;0;3
inl9mf;6;0;0;1
tmr36mx;7;0;0;1
0JzIgulYVm;10;1;0;3
reep1s;6;0;0;1
kya6;4;0;0;1
Z(J9q5XS+K(O;12;1;1;5
83q6x;5;0;0;1
x0th;4;0;0;1
rk4f8pi;7;0;0;1
MO7A3sjkY7;10;1;0;3
iezt4u;6;0;0;1
tocm8z7;7;0;0;1
5a6g;4;0;0;1
32zKrPZrMG;10;1;0;3
Ntwmdd9Td;9;1;0;3
pX0vbH6mGl;10;1;0;3
BNLdsdsoHD;10;1;0;3
#TRdCP?-:aQv.z'w&,;18;1;1;5
zmm6BbyVU;9;1;0;3
ixzmn;5;0;0;1
h8k1Nfgk;8;1;0;3
3XryAbKW2cJ;11;1;0;3
A1MKX9Cvyo;10;1;0;3
9]I_ii2t^EjCu;13;1;1;5
"?\LDm-3R.uJ;NZ";14;1;1;5
_>%Q(v]pJaLSN*5;15;1;1;5
QDtqtlzZzuF;11;1;0;3
s4688y1;7;0;0;1
nI[i6(#Mqm}7vd<>;16;1;1;5
dcevx2bf;8;0;0;2
6CVKmXIF;8;1;0;3
NbnQ7zwgXsr;11;1;0;3
12HWZN9tXS;10;1;0;3
76PKGnY5v;9;1;0;3
rjajHBxAWV;10;1;0;3
.WLb:!#<N9Ocx(\fx;17;1;1;5
"{EI#;](R)ViT(";13;1;1;5
e)k^\]u*&o{ppIS;15;1;1;5
"3""SNM7ji2cw=GH";14;1;1;5
2l1ctd8;7;0;0;1
wqgr;4;0;0;1
7zak0qe;7;0;0;1
4j7tvjh;7;0;0;1
b9v0y;5;0;0;1
IVdp:$2p^.Vd2=^#;16;1;1;5
p6blnnr;7;0;0;1
ueeqa3kq8;9;0;0;2
_pj~3#7VH^P-.&;14;1;1;5
k!tQHFax~B.0\DK=z;17;1;1;5
TwcjhdoCTCw;11;1;0;3
k0ws8;5;0;0;1
hqo8;4;0;0;1
b,eHnw>F0DarZquuPR;18;1;1;5
ujti3u;6;0;0;1
5O96cY_KDU=(?cs;15;1;1;5
isb71sm;7;0;0;1
aONLqQmDq;9;1;0;3
s0hV0E53okF;11;1;0;3
BImSVbrEu3I;11;1;0;3
skre;4;0;0;1
ihiiy12;7;0;0;1
oXA2AqQxGVS;11;1;0;3
2hhg;4;0;0;1
HmrNyZII;8;1;0;3
.C:j'EUQG:?Q:s;14;1;1;5
eEueeN4mRb;10;1;0;3
QGCepua4R;9;1;0;3
bJQe8yWXyU;10;1;0;3
E7UmZ7A0j;9;1;0;3
"`N>ZWzR.U""AS:";13;1;1;5
bcfhQ7M17t;10;1;0;3
gFuzTdSk;8;1;0;3
yjb5a;5;0;0;1
0PyEQaD1;8;1;0;3
QBlENSIX;8;1;0;3
8J3ZS2BPpdq;11;1;0;3
"<H?:*op[><-""K";13;1;1;5
"6,""C/[bg[OD'j{ML";16;1;1;5
Nf~8F'Tv)v85;12;1;1;5
2q(K4>Zl^#!+Zd;14;1;1;5
"CdKfi=""bp0[Ih";13;1;1;5
0wAfu8qNmob;11;1;0;3
GDHBiiA2ZX5;11;1;0;3
OHt55GOjxUr;11;1;0;3
Beg>N:>TtzdWD%T;15;1;1;5
sq056a;6;0;0;1
hl7l;4;0;0;1
hfad;4;0;0;1
kj40;4;0;0;1
1ErGBWxJQTs;11;1;0;3
b3jk8z0;7;0;0;1
urwly1n;7;0;0;1
a6019da;7;0;0;1
6RkuLpyG;8;1;0;3
"LYxD,4D9V;_a4Nz";15;1;1;5
3lzp;4;0;0;1
aamXhTKLqwP;11;1;0;3
Q/@k>VoEtk^v)r0J~{;18;1;1;5
K0=<[Lxb6`2I5'?n;16;1;1;5
lqgvmh;6;0;0;1
n6vwf;5;0;0;1
Nh7OOc5PZj;10;1;0;3
kzc@9LID,rd?Mms>Q=;18;1;1;5
6worj;5;0;0;1
Ah4ry5sBAU;10;1;0;3
RJvD7jtB3DH;11;1;0;3
$[etmdU^o>%8ebl*2L;18;1;1;5
Tgw6cf3eGEk;11;1;0;3
"<g7/cqx.T|-""";12;1;1;5
@La#$(`L5Sf=[${/;16;1;1;5
xvVRQv6DSmE;11;1;0;3
)'\!:5x|Dw'A[j';15;1;1;5
Eu9OKVdO7wh;11;1;0;3
HJiK7vqC;8;1;0;3
1uc2;4;0;0;1
qa5ab6a;7;0;0;1
jsjeooq;7;0;0;1
-|TKmC!de(Z\nJ9;15;1;1;5
8X59YdWndt;10;1;0;3
AaW[lJh1_M2l;12;1;1;5
"8P]sANSXS;z*j[sV^";17;1;1;5
FJImji0qUs;10;1;0;3
xsGU2CT9;8;1;0;3
iMkwebC9v;9;1;0;3
QU6RPpLKl4c;11;1;0;3
R6RByszG6h;10;1;0;3
HRHskfkh70y;11;1;0;3
Te3YPMwq1;9;1;0;3
igzli;5;0;0;1
"GmrX=NTCY}a""g8;""k";17;1;1;5
mjw1zFKf;8;1;0;3
IdDEdxIh;8;1;0;3
"NmI;(WOWs7PdP";13;1;1;5
[w2WRj8{Fr11UB);15;1;1;5
qh}QT*HvrVmyP2t@<f;18;1;1;5
?rAq<6p1$j:yyiQd;16;1;1;5
r5!#R}o:-t1X\;13;1;1;5
HaN6qhx7s;9;1;0;3
kwh624;6;0;0;1
"C3Zb""4ES]7q,`K7Dw]";18;1;1;5
lNzB8Jq8xl;10;1;0;3
+7:KUsR/)O`f;12;1;1;5
go04Oi16vW;10;1;0;3
LSIhTbYfYZ;10;1;0;3
iWCmNesqPxr;11;1;0;3
BL()*}_QmFu3/D<r+};18;1;1;5
8rcu49;6;0;0;1
nHj%o-0Ak9O7~:&x+;17;1;1;5
y5ibzlm;7;0;0;1
hxu7;4;0;0;1
4i6ly2;6;0;0;1
kcXH_j7Y?yeeD(J|;16;1;1;5
".W*rH4""SG<>zf;F";15;1;1;5
e'fd,,r{|,PG;12;1;1;5
8g9ArgSylSZFOd+*;16;1;1;5
tesb;4;0;0;1
PC8bJt1PF;9;1;0;3
2vfov9y;7;0;0;1
D4LZUhF9k;9;1;0;3
3yNODviX;8;1;0;3
">Dg%Cx;4Qq))=iP%";16;1;1;5
4AlJJHQqR90;11;1;0;3
wmNRktb4Cw;10;1;0;3
0;16;1;1;5
P]x3\2=!yg|4D;13;1;1;5
LVF01kNbT;9;1;0;3
"-B0""oVY=VwO?WA";14;1;1;5
M8gfP&s4cb89DhV;15;1;1;5
3v0y5fn;7;0;0;1
gYb7Ai3lONF;11;1;0;3
Y96GA*D_%vV~;12;1;1;5
dDgpOCeZq;9;1;0;3
">wEdkme""/atcr";13;1;1;5
EFRhwX7qsm;10;1;0;3
rq73dw0;7;0;0;1
JXZ0D2bH;8;1;0;3
"+;6wK_G%xLiKi?/";15;1;1;5
u2W8nHQtl0y;11;1;0;3
PKuOtvef;8;1;0;3
mOUz1SD8rj6;11;1;0;3
qziqj;5;0;0;1
79db;4;0;0;1
crlQYjsdxG5;11;1;0;3
wjh9919;7;0;0;1
fw6m5;5;0;0;1
48h0r;5;0;0;1
h7F2mwWA8yw;11;1;0;3
cwtaQYQY;8;1;0;3
d5Vg4vhks;9;1;0;3
JfTxs9CGa;9;1;0;3
0WMsTYnlV;9;1;0;3
1nl7i5;6;0;0;1
!y*9DzB*?#&kkw!'f;17;1;1;5
0:0mLV+vj%90UkM;15;1;1;5
kDWgPaYchv9;11;1;0;3
lWUci95pS;9;1;0;3
"]fP[,ndO?vo""+JpP_a";18;1;1;5
sMrCgfmnBIJ;11;1;0;3
msw9w;5;0;0;1
Q&3aP@%:LrCjl,;14;1;1;5
ceu1wp7;7;0;0;1
p'<9kk.=w0'v*{=qdW;18;1;1;5
P6kXQJ6dei;10;1;0;3
TYmBr5lC;8;1;0;3
VZ0Cg1Mt;8;1;0;3
N%i%WTnCc?e\|)e;15;1;1;5
:sY3qxro[93F>cUI5;17;1;1;5
W64<6b]r54%53L;14;1;1;5
XN0UKKXp8;9;1;0;3
i2js;4;0;0;1
uNJCuWSVKB;10;1;0;3
nhmmi;5;0;0;1
E?ow3:kxQ^_^;12;1;1;5
w8gdr0;6;0;0;1
"""A*R`v1?W,eo<E~";15;1;1;5
56bfrw;6;0;0;1
4a7it;5;0;0;1
e5go3o;6;0;0;1
S1wnuWSVav;10;1;0;3
RM1lEN8aU;9;1;0;3
vg5x6;5;0;0;1
DGaC1zHhU;9;1;0;3
"X;?@V>G&I~e%wQ}";15;1;1;5
q8t82td;7;0;0;1
nxkq;4;0;0;1
XmPD782n2Hh;11;1;0;3
X7UIfaSVBVA;11;1;0;3
u9SULtJj9r;10;1;0;3
pgvi;4;0;0;1
IGBsJLFk;8;1;0;3
DikUeQOdL;9;1;0;3
Vqis8IRW8x;10;1;0;3
h2cdp18;7;0;0;1
JzXyjB2BHX;10;1;0;3
3ddyno;6;0;0;1
lsyCcY6Zb;9;1;0;3
8g9tv;5;0;0;1
"OC:Vi;%0jQ3j";12;1;1;5
"SN`Y{;>8^sD$]A|";15;1;1;5
(N2ivWs<{gp}%v+AQ;17;1;1;5
55gd57;6;0;0;1
hWwlsOTZT7;10;1;0;3
/~`I`l=Yxkq%XOf;15;1;1;5
nyNAb3mwv8;10;1;0;3
8rz6e;5;0;0;1
yHghEWb1yHO;11;1;0;3
R$0=X)O@NI`m2.;14;1;1;5
"f(AH^Ty""Vg'6:?";14;1;1;5
l1qg;4;0;0;1
iGbhn4VT;8;1;0;3
gox0pqm;7;0;0;1
"Id;C*m8Cu\TTf}~/";16;1;1;5
3[`)CYt(`s6);12;1;1;5
oih9fj;6;0;0;1
L5N3kycoDN;10;1;0;3
5#8rH_d}tHQ)N;13;1;1;5
loatzs;6;0;0;1
ifPpXzyA;8;1;0;3
NtYaPw97;8;1;0;3
eWi{PLoM<I/N;12;1;1;5
bgF9B3tm;8;1;0;3
jQYH@Ar?K|$wqp0^J!;18;1;1;5
2b8h8r;6;0;0;1
aCfrej3q;8;1;0;3
KVDCspA4qzJ;11;1;0;3
bqboPSBdmXv;11;1;0;3
jgc65;5;0;0;1
61uf;4;0;0;1
Xdjw1uM5;8;1;0;3
UayeZLek;8;1;0;3
w1uWY6uVU;9;1;0;3
hm5xz1w;7;0;0;1
"]OoZ|Y`0lG]Yh@A;|2";18;1;1;5
c4z2gi;6;0;0;1
yghxf;5;0;0;1
rTirG2qC;8;1;0;3
tpgdgs7;7;0;0;1
u4l9h;5;0;0;1
jic7i6y;7;0;0;1
m308ge;6;0;0;1
@RQ[n^(TDGj{}MOHc!;18;1;1;5
0wq68;5;0;0;1
w2Nf1o5F;8;1;0;3
"~!(#@~w)wqfONrW6;";17;1;1;5
Zoocydjq;8;1;0;3
Mw2DYEeBuTv;11;1;0;3
ynyxZx5hKk;10;1;0;3
xW'L[zZ(Qq^bIa#(i;17;1;1;5
tj4jhub;7;0;0;1
kko8n5l;7;0;0;1
"Z;Mit7-&NBD6ZtO";15;1;1;5
2w2xcsp;7;0;0;1
6tll8c;6;0;0;1
"|Za!3,WW*IGJ2""";14;1;1;5
"EW^mZ_9;W,l|->5^>";17;1;1;5
DmlNDDE3;8;1;0;3
hq1NttsTEWS;11;1;0;3
ph4pv5;6;0;0;1
"6/""DZ=83]LjJ_!Bx~";17;1;1;5
k6k4bz15;8;0;0;2
476y;4;0;0;1
"2t>nf}{*z;Y+";12;1;1;5
gzb2t;5;0;0;1
oxyj;4;0;0;1
8i(mgC/41'lRb;13;1;1;5
G99LlvSU2;9;1;0;3
0IpDEb4V;8;1;0;3
2m6lf3;6;0;0;1
w@!E5T?~IaA>d;13;1;1;5
